DATE,FFR,URATE,CPI,NETEXP,M2SL_PCH,EXPECT,,
1/1/1970,8.98,3.9,0.12836,3.514,0.28916,#N/A,,114.00117
2/1/1970,8.98,4.2,0.12903,,-0.5597,#N/A,,
3/1/1970,7.76,4.4,0.12971,,0.17056,#N/A,,
4/1/1970,8.1,4.6,0.13039,5.207,0.1873,#N/A,,
5/1/1970,7.95,4.8,0.13073,,0.52685,#N/A,,
6/1/1970,7.61,4.9,0.13140,,0.62553,#N/A,,
7/1/1970,7.21,5,0.13174,4.088,0.65524,#N/A,,
8/1/1970,6.62,5.1,0.13208,,0.96812,#N/A,,
9/1/1970,6.29,5.4,0.13276,,1.04149,#N/A,,
10/1/1970,6.2,5.5,0.13344,2.985,0.85079,#N/A,,
11/1/1970,5.6,5.9,0.13411,,0.76249,#N/A,,
12/1/1970,4.9,6.1,0.13479,,0.86943,#N/A,,
1/1/1971,4.14,5.9,0.13513,4.57,1.02155,#N/A,,
2/1/1971,3.72,5.9,0.13513,,1.27982,#N/A,,
3/1/1971,3.71,6,0.13547,,1.38846,#N/A,,
4/1/1971,4.16,5.9,0.13581,-0.401,1.30789,#N/A,,
5/1/1971,4.63,5.9,0.13648,,1.26063,#N/A,,
6/1/1971,4.91,5.9,0.13716,,0.94495,#N/A,,
7/1/1971,5.31,6,0.13750,0.236,0.98068,#N/A,,
8/1/1971,5.57,6.1,0.13784,,0.86816,#N/A,,
9/1/1971,5.55,6,0.13818,,1.02115,#N/A,,
10/1/1971,5.2,5.8,0.13852,-1.92,0.85199,#N/A,,
11/1/1971,4.91,6,0.13886,,0.88774,#N/A,,
12/1/1971,4.14,6,0.13919,,0.80897,#N/A,,
1/1/1972,3.51,5.8,0.13953,-3.534,1.04181,#N/A,,
2/1/1972,3.3,5.7,0.14021,,1.11467,#N/A,,
3/1/1972,3.83,5.8,0.14021,,1.07482,#N/A,,
4/1/1972,4.17,5.7,0.14055,-4.258,0.66803,#N/A,,
5/1/1972,4.27,5.7,0.14089,,0.6636,#N/A,,
6/1/1972,4.46,5.7,0.14123,,0.86103,#N/A,,
7/1/1972,4.55,5.6,0.14156,-2.638,1.30719,#N/A,,
8/1/1972,4.81,5.6,0.14190,,1.21132,#N/A,,
9/1/1972,4.87,5.5,0.14258,,1.24886,#N/A,,
10/1/1972,5.05,5.6,0.14292,-3.061,1.10497,#N/A,,
11/1/1972,5.06,5.3,0.14360,,0.88957,#N/A,,
12/1/1972,5.33,5.2,0.14394,,1.05807,#N/A,,
1/1/1973,5.94,4.9,0.14461,-1.4,0.99713,#N/A,,
2/1/1973,6.58,5,0.14563,,0.46896,#N/A,,
3/1/1973,7.09,4.9,0.14698,,0.1474,#N/A,,
4/1/1973,7.12,5,0.14800,2.454,0.53968,#N/A,,
5/1/1973,7.84,4.9,0.14868,,0.86617,#N/A,,
6/1/1973,8.49,4.9,0.14969,,0.78616,#N/A,,
7/1/1973,10.4,4.8,0.14969,6.437,0.38402,#N/A,,
8/1/1973,10.5,4.8,0.15240,,0.27496,#N/A,,
9/1/1973,10.78,4.8,0.15308,,0.05961,#N/A,,
10/1/1973,10.01,4.6,0.15443,8.952,0.39318,#N/A,,
11/1/1973,10.03,4.8,0.15545,,0.74769,#N/A,,
12/1/1973,9.95,4.9,0.15681,,0.77748,#N/A,,
1/1/1974,9.65,5.1,0.15850,6.394,0.49094,#N/A,,
2/1/1974,8.97,5.2,0.16019,,0.52344,#N/A,,
3/1/1974,9.35,5.1,0.16189,,0.68271,#N/A,,
4/1/1974,10.51,5.1,0.16290,-2.714,0.3218,#N/A,,
5/1/1974,11.31,5.1,0.16459,,0.19475,#N/A,,
6/1/1974,11.93,5.4,0.16595,,0.36588,#N/A,,
7/1/1974,12.92,5.5,0.16697,-6.972,0.41012,#N/A,,
8/1/1974,12.01,5.5,0.16900,,0.30633,#N/A,,
9/1/1974,11.34,5.9,0.17137,,0.42982,#N/A,,
10/1/1974,10.06,6,0.17272,0.033,0.60818,#N/A,,
11/1/1974,9.45,6.6,0.17442,,0.59331,#N/A,,
12/1/1974,8.53,7.2,0.17577,,0.38949,#N/A,,
1/1/1975,7.13,8.1,0.17713,16.481,0.46558,#N/A,,
2/1/1975,6.24,8.1,0.17814,,0.86064,#N/A,,
3/1/1975,5.54,8.6,0.17882,,1.19243,#N/A,,
4/1/1975,5.49,8.8,0.17950,21.582,1.09189,#N/A,,
5/1/1975,5.22,9,0.17983,,1.36884,#N/A,,
6/1/1975,5.55,8.8,0.18119,,1.593,#N/A,,
7/1/1975,6.1,8.6,0.18288,12.043,1.25649,#N/A,,
8/1/1975,6.14,8.4,0.18356,,0.82043,#N/A,,
9/1/1975,6.24,8.4,0.18491,,0.85444,#N/A,,
10/1/1975,5.82,8.4,0.18593,13.801,0.6354,#N/A,,
11/1/1975,5.22,8.3,0.18729,,0.91201,#N/A,,
12/1/1975,5.2,8.2,0.18830,,0.92363,#N/A,,
1/1/1976,4.87,7.9,0.18898,4.65,1.02342,#N/A,,
2/1/1976,4.77,7.7,0.18932,,1.3345,#N/A,,
3/1/1976,4.84,7.6,0.18966,,0.93242,#N/A,,
4/1/1976,4.82,7.7,0.18999,-0.496,1.02857,#N/A,,
5/1/1976,5.29,7.4,0.19101,,1.06523,#N/A,,
6/1/1976,5.48,7.6,0.19203,,0.51301,#N/A,,
7/1/1976,5.31,7.8,0.19304,-4.073,0.80735,#N/A,,
8/1/1976,5.29,7.8,0.19406,,1.14149,#N/A,,
9/1/1976,5.25,7.6,0.19508,,1.1013,#N/A,,
10/1/1976,5.02,7.7,0.19609,-6.603,1.27836,#N/A,,
11/1/1976,4.95,7.8,0.19677,,1.17333,#N/A,,
12/1/1976,4.65,7.8,0.19778,,1.21244,#N/A,,
1/1/1977,4.61,7.5,0.19880,-21.079,1.14583,#N/A,,
2/1/1977,4.68,7.6,0.20083,,1.06419,#N/A,,
3/1/1977,4.69,7.4,0.20185,,0.92561,#N/A,,
4/1/1977,4.73,7.2,0.20320,-21.136,0.93395,#N/A,,
5/1/1977,5.35,7,0.20388,,0.78359,#N/A,,
6/1/1977,5.39,7.2,0.20490,,0.72787,#N/A,,
7/1/1977,5.42,6.9,0.20591,-20.579,0.73083,#N/A,,
8/1/1977,5.9,7,0.20693,,0.83965,#N/A,,
9/1/1977,6.14,6.8,0.20761,,0.74373,#N/A,,
10/1/1977,6.47,6.8,0.20862,-29.582,0.6259,#N/A,,
11/1/1977,6.51,6.8,0.20998,,0.66986,#N/A,,
12/1/1977,6.56,6.4,0.21099,,0.62579,#N/A,,
1/1/1978,6.7,6.4,0.21235,-38.681,0.73998,#N/A,,
2/1/1978,6.78,6.3,0.21336,,0.45323,#N/A,,
3/1/1978,6.79,6.3,0.21472,,0.5212,#N/A,,
4/1/1978,6.89,6.1,0.21641,-22.624,0.63458,#N/A,,
5/1/1978,7.36,6,0.21844,,0.77668,#N/A,,
6/1/1978,7.6,5.9,0.22014,,0.61045,#N/A,,
7/1/1978,7.81,6.2,0.22183,-23.76,0.42473,#N/A,,
8/1/1978,8.04,5.9,0.22318,,0.70992,#N/A,,
9/1/1978,8.45,6,0.22522,,0.86239,#N/A,,
10/1/1978,8.96,5.8,0.22725,-16.4,0.54275,#N/A,,
11/1/1978,9.76,5.9,0.22860,,0.50285,#N/A,,
12/1/1978,10.03,6,0.22996,,0.50769,#N/A,,
1/1/1979,10.07,5.9,0.23199,-18.159,0.40996,#N/A,,
2/1/1979,10.06,5.9,0.23436,,0.45203,#N/A,,
3/1/1979,10.09,5.8,0.23673,,0.72579,#N/A,,
4/1/1979,10.01,5.8,0.23910,-22.189,1.03041,#N/A,,
5/1/1979,10.24,5.6,0.24181,,0.5777,#N/A,,
6/1/1979,10.29,5.7,0.24452,,0.90767,#N/A,,
7/1/1979,10.47,5.7,0.24723,-23.029,0.82923,#N/A,,
8/1/1979,10.94,6,0.24960,,0.82241,#N/A,,
9/1/1979,11.43,5.9,0.25197,,0.51846,#N/A,,
10/1/1979,13.77,6,0.25468,-26.802,0.43326,#N/A,,
11/1/1979,13.18,5.9,0.25739,,0.37661,#N/A,,
12/1/1979,13.78,6,0.26044,,0.5321,#N/A,,
1/1/1980,13.82,6.3,0.26416,-35.803,0.61071,#N/A,,
2/1/1980,14.13,6.3,0.26755,,0.80259,#N/A,,
3/1/1980,17.19,6.3,0.27128,,0.34792,#N/A,,
4/1/1980,17.61,6.9,0.27399,-15.211,0.16002,#N/A,,
5/1/1980,10.98,7.5,0.27669,,0.67235,#N/A,,
6/1/1980,9.47,7.6,0.27940,,1.1175,#N/A,,
7/1/1980,9.03,7.8,0.27974,5.471,1.06592,#N/A,,
8/1/1980,9.61,7.7,0.28178,,1.03526,#N/A,,
9/1/1980,10.87,7.5,0.28415,,0.80051,#N/A,,
10/1/1980,12.81,7.5,0.28686,-6.682,0.68615,#N/A,,
11/1/1980,15.85,7.5,0.28990,,0.69409,#N/A,,
12/1/1980,18.9,7.2,0.29261,,0.25066,#N/A,,
1/1/1981,19.08,7.5,0.29532,-14.259,0.44381,#N/A,,
2/1/1981,15.93,7.4,0.29803,,0.73433,#N/A,,
3/1/1981,14.7,7.4,0.30006,,1.10583,#N/A,,
4/1/1981,15.72,7.2,0.30176,-13.508,1.38091,#N/A,,
5/1/1981,18.52,7.5,0.30379,,0.30135,#N/A,,
6/1/1981,19.1,7.5,0.30650,,0.36654,#N/A,,
7/1/1981,19.04,7.2,0.30988,-7.561,0.69449,#N/A,,
8/1/1981,17.82,7.4,0.31226,,0.73726,#N/A,,
9/1/1981,15.87,7.6,0.31530,,0.69055,#N/A,,
10/1/1981,15.08,7.9,0.31632,-14.75,0.92614,#N/A,,
11/1/1981,13.31,8.3,0.31767,,0.83053,#N/A,,
12/1/1981,12.37,8.5,0.31869,,1.11745,#N/A,,
1/1/1982,13.22,8.6,0.31971,-16.276,0.84876,6.3945071,,
2/1/1982,14.78,8.9,0.32072,,0.23159,6.4321077,,
3/1/1982,14.68,9,0.32072,,0.67625,6.3877317,,
4/1/1982,14.94,9.3,0.32174,-4.386,0.97397,6.1406276,,
5/1/1982,14.45,9.4,0.32479,,0.63751,5.4881669,,
6/1/1982,14.15,9.6,0.32851,,0.58389,5.4452325,,
7/1/1982,12.59,9.8,0.33021,-29.647,0.3012,6.3748846,,
8/1/1982,10.12,9.8,0.33088,,0.74802,6.367801,,
9/1/1982,10.31,10.1,0.33088,,0.71537,6.339422,,
10/1/1982,9.71,10.4,0.33224,-29.587,0.60805,5.1327583,,
11/1/1982,9.2,10.8,0.33190,,0.74878,4.6539145,,
12/1/1982,8.95,10.8,0.33088,,1.17853,4.5710148,,
1/1/1983,8.68,10.4,0.33156,-24.548,2.80707,4.8633048,,
2/1/1983,8.51,10.4,0.33190,,1.90875,4.5956615,,
3/1/1983,8.77,10.3,0.33224,,0.92147,4.0629447,,
4/1/1983,8.8,10.2,0.33461,-45.434,0.66495,4.6289199,,
5/1/1983,8.63,10.1,0.33596,,0.71478,4.6186334,,
6/1/1983,8.98,10.1,0.33664,,0.50903,4.1399507,,
7/1/1983,9.37,9.4,0.33799,-65.2,0.55028,4.9603809,,
8/1/1983,9.56,9.5,0.33901,,0.44556,5.1924267,,
9/1/1983,9.45,9.2,0.34003,,0.44359,5.1037494,,
10/1/1983,9.48,8.8,0.34138,-71.385,0.76805,5.1155348,,
11/1/1983,9.34,8.5,0.34240,,0.62405,5.2028781,,
