DATE,FFR,URATE,CPI,NETEXP,M2SL_PCH,M2,M2V,EXPECT
3/1/1970,7.76,4.4,6.09418,3.514,0.17056,#N/A,,#N/A
4/1/1970,8.1,4.6,6.06061,,0.1873,#N/A,1.804,#N/A
5/1/1970,7.95,4.8,6.04396,,0.52685,#N/A,,#N/A
6/1/1970,7.61,4.9,6.01093,5.207,0.62553,#N/A,,#N/A
7/1/1970,7.21,5,5.70652,,0.65524,#N/A,1.795,#N/A
8/1/1970,6.62,5.1,5.69106,,0.96812,#N/A,,#N/A
9/1/1970,6.29,5.4,5.66038,4.088,1.04149,#N/A,,#N/A
10/1/1970,6.2,5.5,5.63003,,0.85079,#N/A,1.752,#N/A
11/1/1970,5.6,5.9,5.6,,0.76249,#N/A,,#N/A
12/1/1970,4.9,6.1,5.57029,2.985,0.86943,#N/A,,#N/A
1/1/1971,4.14,5.9,5.27704,,1.02155,#N/A,1.77,#N/A
2/1/1971,3.72,5.9,4.72441,,1.27982,#N/A,,#N/A
3/1/1971,3.71,6,4.43864,4.57,1.38846,#N/A,,#N/A
4/1/1971,4.16,5.9,4.15584,,1.30789,#N/A,1.736,#N/A
5/1/1971,4.63,5.9,4.40415,,1.26063,#N/A,,#N/A
6/1/1971,4.91,5.9,4.38144,-0.401,0.94495,#N/A,,#N/A
7/1/1971,5.31,6,4.37018,,0.98068,#N/A,1.717,#N/A
8/1/1971,5.57,6.1,4.35897,,0.86816,#N/A,,#N/A
9/1/1971,5.55,6,4.08163,0.236,1.02115,#N/A,,#N/A
10/1/1971,5.2,5.8,3.80711,,0.85199,#N/A,1.69,#N/A
11/1/1971,4.91,6,3.53535,,0.88774,#N/A,,#N/A
12/1/1971,4.14,6,3.26633,-1.92,0.80897,#N/A,,#N/A
1/1/1972,3.51,5.8,3.25815,,1.04181,#N/A,1.696,#N/A
2/1/1972,3.3,5.7,3.7594,,1.11467,#N/A,,#N/A
3/1/1972,3.83,5.8,3.5,-3.534,1.07482,#N/A,,#N/A
4/1/1972,4.17,5.7,3.49127,,0.66803,#N/A,1.703,#N/A
5/1/1972,4.27,5.7,3.22581,,0.6636,#N/A,,#N/A
6/1/1972,4.46,5.7,2.96296,-4.258,0.86103,#N/A,,#N/A
7/1/1972,4.55,5.6,2.95567,,1.30719,#N/A,1.679,#N/A
8/1/1972,4.81,5.6,2.9484,,1.21132,#N/A,,#N/A
9/1/1972,4.87,5.5,3.18627,-2.638,1.24886,#N/A,,#N/A
10/1/1972,5.05,5.6,3.17848,,1.10497,#N/A,1.673,#N/A
11/1/1972,5.06,5.3,3.41463,,0.88957,#N/A,,#N/A
12/1/1972,5.33,5.2,3.40633,-3.061,1.05807,#N/A,,#N/A
1/1/1973,5.94,4.9,3.64078,,0.99713,#N/A,1.694,#N/A
2/1/1973,6.58,5,3.86473,,0.46896,#N/A,,#N/A
3/1/1973,7.09,4.9,4.83092,-1.4,0.1474,#N/A,,#N/A
4/1/1973,7.12,5,5.3012,,0.53968,#N/A,1.71,#N/A
5/1/1973,7.84,4.9,5.52885,,0.86617,#N/A,,#N/A
6/1/1973,8.49,4.9,5.9952,2.454,0.78616,#N/A,,#N/A
7/1/1973,10.4,4.8,5.74163,,0.38402,#N/A,1.711,#N/A
8/1/1973,10.5,4.8,7.39857,,0.27496,#N/A,,#N/A
9/1/1973,10.78,4.8,7.36342,6.437,0.05961,#N/A,,#N/A
10/1/1973,10.01,4.6,8.05687,,0.39318,#N/A,1.739,#N/A
11/1/1973,10.03,4.8,8.25472,,0.74769,#N/A,,#N/A
12/1/1973,9.95,4.9,8.94118,8.952,0.77748,#N/A,,#N/A
1/1/1974,9.65,5.1,9.60187,,0.49094,#N/A,1.725,#N/A
2/1/1974,8.97,5.2,10,,0.52344,#N/A,,#N/A
3/1/1974,9.35,5.1,10.13825,6.394,0.68271,#N/A,,#N/A
4/1/1974,10.51,5.1,10.06865,,0.3218,#N/A,1.748,#N/A
5/1/1974,11.31,5.1,10.70615,,0.19475,#N/A,,#N/A
6/1/1974,11.93,5.4,10.85973,-2.714,0.36588,#N/A,,#N/A
7/1/1974,12.92,5.5,11.53846,,0.41012,#N/A,1.764,#N/A
8/1/1974,12.01,5.5,10.88889,,0.30633,#N/A,,#N/A
9/1/1974,11.34,5.9,11.9469,-6.972,0.42982,#N/A,,#N/A
10/1/1974,10.06,6,11.84211,,0.60818,#N/A,1.781,#N/A
11/1/1974,9.45,6.6,12.20044,,0.59331,#N/A,,#N/A
12/1/1974,8.53,7.2,12.09503,0.033,0.38949,#N/A,,#N/A
1/1/1975,7.13,8.1,11.75214,,0.46558,#N/A,1.766,#N/A
2/1/1975,6.24,8.1,11.20507,,0.86064,#N/A,,#N/A
3/1/1975,5.54,8.6,10.46025,16.481,1.19243,#N/A,,#N/A
4/1/1975,5.49,8.8,10.18711,,1.09189,#N/A,1.741,#N/A
5/1/1975,5.22,9,9.25926,,1.36884,#N/A,,#N/A
6/1/1975,5.55,8.8,9.18367,21.582,1.593,#N/A,,#N/A
7/1/1975,6.1,8.6,9.53347,,1.25649,#N/A,1.739,#N/A
8/1/1975,6.14,8.4,8.61723,,0.82043,#N/A,,#N/A
9/1/1975,6.24,8.4,7.90514,12.043,0.85444,#N/A,,#N/A
10/1/1975,5.82,8.4,7.64706,,0.6354,#N/A,1.75,#N/A
11/1/1975,5.22,8.3,7.37864,,0.91201,#N/A,,#N/A
12/1/1975,5.2,8.2,7.12909,13.801,0.92363,#N/A,,#N/A
1/1/1976,4.87,7.9,6.69216,,1.02342,#N/A,1.752,#N/A
2/1/1976,4.77,7.7,6.27376,,1.3345,#N/A,,#N/A
3/1/1976,4.84,7.6,6.06061,4.65,0.93242,#N/A,,#N/A
4/1/1976,4.82,7.7,5.84906,,1.02857,#N/A,1.731,#N/A
5/1/1976,5.29,7.4,6.21469,,1.06523,#N/A,,#N/A
6/1/1976,5.48,7.6,5.98131,-0.496,0.51301,#N/A,,#N/A
7/1/1976,5.31,7.8,5.55556,,0.80735,#N/A,1.717,#N/A
8/1/1976,5.29,7.8,5.71956,,1.14149,#N/A,,#N/A
9/1/1976,5.25,7.6,5.49451,-4.073,1.1013,#N/A,,#N/A
10/1/1976,5.02,7.7,5.46448,,1.27836,#N/A,1.699,#N/A
11/1/1976,4.95,7.8,5.06329,,1.17333,#N/A,,#N/A
12/1/1976,4.65,7.8,5.03597,-6.603,1.21244,#N/A,,#N/A
1/1/1977,4.61,7.5,5.19713,,1.14583,#N/A,1.689,#N/A
2/1/1977,4.68,7.6,6.08229,,1.06419,#N/A,,#N/A
3/1/1977,4.69,7.4,6.42857,-21.079,0.92561,#N/A,,#N/A
4/1/1977,4.73,7.2,6.95187,,0.93395,#N/A,1.701,#N/A
5/1/1977,5.35,7,6.73759,,0.78359,#N/A,,#N/A
6/1/1977,5.39,7.2,6.70194,-21.136,0.72787,#N/A,,#N/A
7/1/1977,5.42,6.9,6.66667,,0.73083,#N/A,1.713,#N/A
8/1/1977,5.9,7,6.63176,,0.83965,#N/A,,#N/A
9/1/1977,6.14,6.8,6.42361,-20.579,0.74373,#N/A,,#N/A
10/1/1977,6.47,6.8,6.39033,,0.6259,#N/A,1.715,#N/A
11/1/1977,6.51,6.8,6.71256,,0.66986,#N/A,,#N/A
12/1/1977,6.56,6.4,6.67808,-29.582,0.62579,#N/A,,#N/A
1/1/1978,6.7,6.4,6.81431,,0.73998,#N/A,1.713,#N/A
2/1/1978,6.78,6.3,6.23946,,0.45323,#N/A,,#N/A
3/1/1978,6.79,6.3,6.37584,-38.681,0.5212,#N/A,,#N/A
4/1/1978,6.89,6.1,6.5,,0.63458,#N/A,1.78,#N/A
5/1/1978,7.36,6,7.14286,,0.77668,#N/A,,#N/A
